num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
5,"(4, 5)",IC,Beat Path,0.00024,0.0001,0.00024,0.0,0.0,50000
5,"(10, 11)",IC,Beat Path,0.01558,0.00952,0.01558,0.0,0.0,50000
5,"(20, 21)",IC,Beat Path,0.0231,0.01232,0.0231,0.0,0.0,50000
5,"(50, 51)",IC,Beat Path,0.02742,0.01392,0.02742,0.0,0.0,50000
5,"(100, 101)",IC,Beat Path,0.02906,0.01456,0.02906,0.0,0.0,50000
5,"(500, 501)",IC,Beat Path,0.03086,0.01616,0.03086,0.0,0.0,50000
5,"(1000, 1001)",IC,Beat Path,0.03184,0.01656,0.03184,0.0,0.0,50000
5,"(5000, 5001)",IC,Beat Path,0.0313,0.01592,0.0313,0.0,0.0,50000
7,"(4, 5)",IC,Beat Path,0.00314,0.0021,0.00314,0.0,0.0,50000
7,"(10, 11)",IC,Beat Path,0.04466,0.02576,0.04466,0.0,0.0,50000
7,"(20, 21)",IC,Beat Path,0.05874,0.033,0.05874,0.0,0.0,50000
7,"(50, 51)",IC,Beat Path,0.06896,0.03724,0.06896,0.0,0.0,50000
7,"(100, 101)",IC,Beat Path,0.074,0.03902,0.074,0.0,0.0,50000
7,"(500, 501)",IC,Beat Path,0.07548,0.03874,0.07548,0.0,0.0,50000
7,"(1000, 1001)",IC,Beat Path,0.07466,0.03924,0.07466,0.0,0.0,50000
7,"(5000, 5001)",IC,Beat Path,0.07714,0.03954,0.07714,0.0,0.0,50000
10,"(4, 5)",IC,Beat Path,0.01298,0.00856,0.01298,0.0,0.0,50000
10,"(10, 11)",IC,Beat Path,0.09384,0.0576,0.09384,0.0,0.0,50000
10,"(20, 21)",IC,Beat Path,0.11872,0.07102,0.11872,0.0,0.0,50000
10,"(50, 51)",IC,Beat Path,0.13498,0.07614,0.13498,0.0,0.0,50000
10,"(100, 101)",IC,Beat Path,0.1401,0.07826,0.1401,0.0,0.0,50000
10,"(500, 501)",IC,Beat Path,0.14822,0.07886,0.14822,0.0,0.0,50000
10,"(1000, 1001)",IC,Beat Path,0.14578,0.07856,0.14578,0.0,0.0,50000
10,"(5000, 5001)",IC,Beat Path,0.14854,0.07676,0.14854,0.0,0.0,50000
20,"(4, 5)",IC,Beat Path,0.07376,0.0521,0.07376,0.0,0.0,50000
20,"(10, 11)",IC,Beat Path,0.24122,0.1589,0.24122,0.0,0.0,50000
20,"(20, 21)",IC,Beat Path,0.28042,0.17824,0.28042,0.0,0.0,50000
20,"(50, 51)",IC,Beat Path,0.31066,0.1906,0.31066,0.0,0.0,50000
20,"(100, 101)",IC,Beat Path,0.31678,0.18724,0.31678,0.0,0.0,50000
20,"(500, 501)",IC,Beat Path,0.32418,0.18294,0.32418,0.0,0.0,50000
20,"(1000, 1001)",IC,Beat Path,0.32364,0.18192,0.32364,0.0,0.0,50000
20,"(5000, 5001)",IC,Beat Path,0.32376,0.1804,0.32376,0.0,0.0,50000
30,"(4, 5)",IC,Beat Path,0.14232,0.10304,0.14232,0.0,0.0,50000
30,"(10, 11)",IC,Beat Path,0.33752,0.23282,0.33752,0.0,0.0,50000
30,"(20, 21)",IC,Beat Path,0.38912,0.26068,0.38912,0.0,0.0,50000
30,"(50, 51)",IC,Beat Path,0.42754,0.27502,0.42754,0.0,0.0,50000
