num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
5,"(4, 5)",IC,Beat Path,0.00028,0.22956,0.00028,0.0,0.0,50000
5,"(10, 11)",IC,Beat Path,0.01438,0.16326,0.01438,0.0,0.0,50000
5,"(20, 21)",IC,Beat Path,0.02178,0.125,0.02178,0.0,0.0,50000
5,"(50, 51)",IC,Beat Path,0.02732,0.08848,0.02732,0.0,0.0,50000
5,"(100, 101)",IC,Beat Path,0.03058,0.07078,0.03058,0.0,0.0,50000
5,"(500, 501)",IC,Beat Path,0.03222,0.04078,0.03222,0.0,0.0,50000
5,"(1000, 1001)",IC,Beat Path,0.0319,0.03428,0.0319,0.0,0.0,50000
5,"(5000, 5001)",IC,Beat Path,0.03108,0.02364,0.03108,0.0,0.0,50000
7,"(4, 5)",IC,Beat Path,0.00282,0.2826,0.00282,0.0,0.0,50000
7,"(10, 11)",IC,Beat Path,0.04284,0.2165,0.04284,0.0,0.0,50000
7,"(20, 21)",IC,Beat Path,0.05908,0.17136,0.05908,0.0,0.0,50000
7,"(50, 51)",IC,Beat Path,0.06804,0.12816,0.06804,0.0,0.0,50000
7,"(100, 101)",IC,Beat Path,0.07332,0.10612,0.07332,0.0,0.0,50000
7,"(500, 501)",IC,Beat Path,0.07544,0.06938,0.07544,0.0,0.0,50000
7,"(1000, 1001)",IC,Beat Path,0.07522,0.0593,0.07522,0.0,0.0,50000
7,"(5000, 5001)",IC,Beat Path,0.0796,0.04982,0.0796,0.0,0.0,50000
10,"(4, 5)",IC,Beat Path,0.01338,0.33362,0.01338,0.0,0.0,50000
10,"(10, 11)",IC,Beat Path,0.09258,0.27402,0.09258,0.0,0.0,50000
10,"(20, 21)",IC,Beat Path,0.12074,0.23446,0.12074,0.0,0.0,50000
10,"(50, 51)",IC,Beat Path,0.13376,0.18396,0.13376,0.0,0.0,50000
10,"(100, 101)",IC,Beat Path,0.14042,0.15338,0.14042,0.0,0.0,50000
10,"(500, 501)",IC,Beat Path,0.1447,0.11086,0.1447,0.0,0.0,50000
10,"(1000, 1001)",IC,Beat Path,0.14704,0.10238,0.14704,0.0,0.0,50000
10,"(5000, 5001)",IC,Beat Path,0.14698,0.08874,0.14698,0.0,0.0,50000
20,"(4, 5)",IC,Beat Path,0.07402,0.4493,0.07402,0.0,0.0,50000
20,"(10, 11)",IC,Beat Path,0.23966,0.40908,0.23966,0.0,0.0,50000
20,"(20, 21)",IC,Beat Path,0.28094,0.36302,0.28094,0.0,0.0,50000
20,"(50, 51)",IC,Beat Path,0.31032,0.30324,0.31032,0.0,0.0,50000
20,"(100, 101)",IC,Beat Path,0.32102,0.27528,0.32102,0.0,0.0,50000
20,"(500, 501)",IC,Beat Path,0.32726,0.22404,0.32726,0.0,0.0,50000
20,"(1000, 1001)",IC,Beat Path,0.32726,0.20668,0.32726,0.0,0.0,50000
20,"(5000, 5001)",IC,Beat Path,0.32324,0.18838,0.32324,0.0,0.0,50000
30,"(4, 5)",IC,Beat Path,0.14222,0.50788,0.14222,0.0,0.0,50000
30,"(10, 11)",IC,Beat Path,0.34008,0.48348,0.34008,0.0,0.0,50000
30,"(20, 21)",IC,Beat Path,0.394,0.43678,0.394,0.0,0.0,50000
30,"(50, 51)",IC,Beat Path,0.42368,0.37884,0.42368,0.0,0.0,50000
30,"(100, 101)",IC,Beat Path,0.43858,0.34732,0.43858,0.0,0.0,50000
30,"(500, 501)",IC,Beat Path,0.43764,0.29566,0.43764,0.0,0.0,50000
30,"(1000, 1001)",IC,Beat Path,0.43368,0.2762,0.43368,0.0,0.0,50000
30,"(5000, 5001)",IC,Beat Path,0.43328,0.25986,0.43328,0.0,0.0,50000
5,"(4, 5)",IAC,Beat Path,0.00026,0.2249,0.00026,0.0,0.0,50000
5,"(10, 11)",IAC,Beat Path,0.01492,0.15822,0.01492,0.0,0.0,50000
5,"(20, 21)",IAC,Beat Path,0.02262,0.1194,0.02262,0.0,0.0,50000
5,"(50, 51)",IAC,Beat Path,0.02688,0.07778,0.02688,0.0,0.0,50000
5,"(100, 101)",IAC,Beat Path,0.02932,0.05474,0.02932,0.0,0.0,50000
