num_cands,num_margin_graphs,vm,perc_mult_winners,avg_ws_size,perc_condorcet_winner
3,10,Split Cycle,0.0,1.0,1.0
3,10,Copeland,0.0,1.0,1.0
3,10,Uncovered Set,0.0,1.0,1.0
3,10,GETCHA,0.0,1.0,1.0
4,10,Split Cycle,0.0,1.0,1.0
4,10,Copeland,0.0,1.0,1.0
4,10,Uncovered Set,0.0,1.0,1.0
4,10,GETCHA,0.0,1.0,1.0
5,10,Split Cycle,0.0,1.0,0.7
5,10,Copeland,0.3,1.4,0.7
5,10,Uncovered Set,0.3,1.6,0.7
5,10,GETCHA,0.3,1.9,0.7
6,10,Split Cycle,0.0,1.0,0.3
6,10,Copeland,0.6,1.6,0.3
6,10,Uncovered Set,0.7,2.4,0.3
6,10,GETCHA,0.7,3.6,0.3
7,10,Split Cycle,0.1,1.1,0.6
7,10,Copeland,0.2,1.2,0.6
7,10,Uncovered Set,0.4,1.8,0.6
7,10,GETCHA,0.4,3.2,0.6
8,10,Split Cycle,0.2,1.3,0.5
8,10,Copeland,0.4,1.6,0.5
8,10,Uncovered Set,0.5,2.6,0.5
8,10,GETCHA,0.5,3.9,0.5
9,10,Split Cycle,0.2,1.2,0.6
9,10,Copeland,0.1,1.1,0.6
9,10,Uncovered Set,0.4,2.4,0.6
9,10,GETCHA,0.4,3.7,0.6
10,10,Split Cycle,0.1,1.1,0.5
10,10,Copeland,0.3,1.3,0.5
10,10,Uncovered Set,0.5,2.3,0.5
10,10,GETCHA,0.5,5.1,0.5
