num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
5,"(4, 5)",IC,Split Cycle,50,0.36
5,"(4, 5)",IC,Beat Path,50,0.36
5,"(4, 5)",IC,Copeland,50,0.16
5,"(4, 5)",IC,GETCHA,50,0.4
5,"(4, 5)",IC,Uncovered Set,50,0.4
5,"(10, 11)",IC,Split Cycle,50,0.26
5,"(10, 11)",IC,Beat Path,50,0.26
5,"(10, 11)",IC,Copeland,50,0.04
5,"(10, 11)",IC,GETCHA,50,0.26
5,"(10, 11)",IC,Uncovered Set,50,0.26
5,"(20, 21)",IC,Split Cycle,50,0.3
5,"(20, 21)",IC,Beat Path,50,0.3
5,"(20, 21)",IC,Copeland,50,0.16
5,"(20, 21)",IC,GETCHA,50,0.38
5,"(20, 21)",IC,Uncovered Set,50,0.38
5,"(50, 51)",IC,Split Cycle,50,0.0
5,"(50, 51)",IC,Beat Path,50,0.0
5,"(50, 51)",IC,Copeland,50,0.0
5,"(50, 51)",IC,GETCHA,50,0.0
5,"(50, 51)",IC,Uncovered Set,50,0.0
5,"(100, 101)",IC,Split Cycle,50,0.1
5,"(100, 101)",IC,Beat Path,50,0.1
5,"(100, 101)",IC,Copeland,50,0.14
5,"(100, 101)",IC,GETCHA,50,0.2
5,"(100, 101)",IC,Uncovered Set,50,0.2
5,"(500, 501)",IC,Split Cycle,50,0.0
5,"(500, 501)",IC,Beat Path,50,0.0
5,"(500, 501)",IC,Copeland,50,0.2
5,"(500, 501)",IC,GETCHA,50,0.2
5,"(500, 501)",IC,Uncovered Set,50,0.2
5,"(1000, 1001)",IC,Split Cycle,50,0.0
5,"(1000, 1001)",IC,Beat Path,50,0.0
5,"(1000, 1001)",IC,Copeland,50,0.16
5,"(1000, 1001)",IC,GETCHA,50,0.34
5,"(1000, 1001)",IC,Uncovered Set,50,0.34
5,"(5000, 5001)",IC,Split Cycle,50,0.1
5,"(5000, 5001)",IC,Beat Path,50,0.0
5,"(5000, 5001)",IC,Copeland,50,0.2
5,"(5000, 5001)",IC,GETCHA,50,0.5
5,"(5000, 5001)",IC,Uncovered Set,50,0.5
7,"(4, 5)",IC,Split Cycle,50,0.32
7,"(4, 5)",IC,Beat Path,50,0.32
7,"(4, 5)",IC,Copeland,50,0.08
7,"(4, 5)",IC,GETCHA,50,0.48
7,"(4, 5)",IC,Uncovered Set,50,0.48
