num_cands,num_voters,pm,vm,size_mult_winners
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,GETCHA,4
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,Copeland,3
5,"(4, 5)",IC,GETCHA,3
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,Copeland,2
5,"(4, 5)",IC,GETCHA,2
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,GETCHA,4
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,GETCHA,4
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,Copeland,3
5,"(4, 5)",IC,GETCHA,3
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,Copeland,2
5,"(4, 5)",IC,GETCHA,2
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,GETCHA,4
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,GETCHA,4
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,Copeland,3
5,"(4, 5)",IC,GETCHA,3
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,GETCHA,5
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,2
5,"(4, 5)",IC,Beat Path,2
5,"(4, 5)",IC,Copeland,2
5,"(4, 5)",IC,GETCHA,2
5,"(4, 5)",IC,Uncovered Set,2
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,Copeland,3
5,"(4, 5)",IC,GETCHA,3
5,"(4, 5)",IC,Uncovered Set,3
5,"(4, 5)",IC,Split Cycle,3
5,"(4, 5)",IC,Beat Path,3
5,"(4, 5)",IC,Copeland,3
5,"(4, 5)",IC,GETCHA,3
5,"(4, 5)",IC,Uncovered Set,3
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,3
5,"(10, 11)",IC,Beat Path,3
5,"(10, 11)",IC,Copeland,3
5,"(10, 11)",IC,GETCHA,3
5,"(10, 11)",IC,Uncovered Set,3
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,3
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,3
5,"(10, 11)",IC,Beat Path,3
5,"(10, 11)",IC,Copeland,3
5,"(10, 11)",IC,GETCHA,3
5,"(10, 11)",IC,Uncovered Set,3
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,3
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(10, 11)",IC,Split Cycle,2
5,"(10, 11)",IC,Beat Path,2
5,"(10, 11)",IC,GETCHA,4
5,"(10, 11)",IC,Uncovered Set,2
5,"(20, 21)",IC,Split Cycle,2
5,"(20, 21)",IC,Beat Path,2
5,"(20, 21)",IC,GETCHA,4
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,Split Cycle,2
5,"(20, 21)",IC,Beat Path,2
5,"(20, 21)",IC,Copeland,2
5,"(20, 21)",IC,GETCHA,2
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,Split Cycle,2
5,"(20, 21)",IC,Beat Path,2
5,"(20, 21)",IC,GETCHA,5
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,Copeland,2
5,"(20, 21)",IC,GETCHA,5
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,GETCHA,5
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,Split Cycle,2
5,"(20, 21)",IC,Beat Path,2
5,"(20, 21)",IC,GETCHA,4
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,Split Cycle,2
5,"(20, 21)",IC,Beat Path,2
5,"(20, 21)",IC,Copeland,2
5,"(20, 21)",IC,GETCHA,2
5,"(20, 21)",IC,Uncovered Set,2
5,"(20, 21)",IC,Split Cycle,2
