vm,comparison_vm,num_cands,num_voters,num_profiles,probmod,perc_diff_ws,perc_ssw_violation,perc_ssw_violation_cond_diff_ws
Beat Path,Split Cycle,4,"(10, 11)",2000000,IC,0.005159,0.005148,0.997867803837953
Beat Path,Split Cycle,4,"(20, 21)",2000000,IC,0.00828,0.0081565,0.985084541062802
Beat Path,Split Cycle,4,"(50, 51)",2000000,IC,0.010549,0.01004,0.9517489809460612
Beat Path,Split Cycle,4,"(100, 101)",2000000,IC,0.0113145,0.01056,0.9333156569004375
Beat Path,Split Cycle,4,"(500, 501)",2000000,IC,0.012127,0.0109965,0.9067782633792364
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,IC,0.01248,0.0112385,0.9005208333333333
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,IC,0.012315,0.0110455,0.8969143321153066
Beat Path,Split Cycle,4,"(10, 11)",2000000,IAC,0.005325,0.005313,0.9977464788732394
Beat Path,Split Cycle,4,"(20, 21)",2000000,IAC,0.0081955,0.0079745,0.9730339820633275
Beat Path,Split Cycle,4,"(50, 51)",2000000,IAC,0.009745,0.009069,0.9306310928681375
Beat Path,Split Cycle,4,"(100, 101)",2000000,IAC,0.0104175,0.009502,0.9121190304775618
Beat Path,Split Cycle,4,"(500, 501)",2000000,IAC,0.0106655,0.0095945,0.8995827668651258
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,IAC,0.010786,0.0096805,0.8975060263304283
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,IAC,0.0107075,0.0095885,0.8954938127480738
Beat Path,Split Cycle,4,"(10, 11)",2000000,MALLOWS-RELPHI-R,0.0011695,0.0011675,0.9982898674647285
Beat Path,Split Cycle,4,"(20, 21)",2000000,MALLOWS-RELPHI-R,0.001352,0.0013375,0.9892751479289941
Beat Path,Split Cycle,4,"(50, 51)",2000000,MALLOWS-RELPHI-R,0.001103,0.001066,0.9664551223934723
Beat Path,Split Cycle,4,"(100, 101)",2000000,MALLOWS-RELPHI-R,0.0008255,0.000777,0.9412477286493035
Beat Path,Split Cycle,4,"(500, 501)",2000000,MALLOWS-RELPHI-R,0.00037,0.000337,0.9108108108108108
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,MALLOWS-RELPHI-R,0.0002765,0.000246,0.8896925858951176
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,MALLOWS-RELPHI-R,0.000139,0.0001245,0.89568345323741
Beat Path,Split Cycle,4,"(10, 11)",2000000,URN-R,0.002235,0.002217,0.9919463087248322
Beat Path,Split Cycle,4,"(20, 21)",2000000,URN-R,0.0033445,0.003241,0.9690536702048139
Beat Path,Split Cycle,4,"(50, 51)",2000000,URN-R,0.0039415,0.0036525,0.9266776607890397
Beat Path,Split Cycle,4,"(100, 101)",2000000,URN-R,0.004167,0.0038265,0.9182865370770338
Beat Path,Split Cycle,4,"(500, 501)",2000000,URN-R,0.004281,0.0038855,0.9076150432142023
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,URN-R,0.004402,0.003961,0.8998182644252612
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,URN-R,0.004375,0.0039245,0.8970285714285714
