num_cands,num_margin_graphs,vm,perc_mult_winners,avg_ws_size,perc_condorcet_winner
3,1000000,Split Cycle,0.0,1.0,0.91227
3,1000000,Copeland,0.08773,1.17546,0.91227
3,1000000,Uncovered Set,0.08773,1.17546,0.91227
3,1000000,GETCHA,0.08773,1.17546,0.91227
4,1000000,Split Cycle,0.012167,1.012167,0.824121
4,1000000,Copeland,0.175879,1.261423,0.824121
4,1000000,Uncovered Set,0.175879,1.351758,0.824121
4,1000000,GETCHA,0.175879,1.442093,0.824121
5,1000000,Split Cycle,0.032639,1.033383,0.747624
5,1000000,Copeland,0.218381,1.290715,0.747624
5,1000000,Uncovered Set,0.252376,1.532496,0.747624
5,1000000,GETCHA,0.252376,1.790295,0.747624
6,1000000,Split Cycle,0.053195,1.055462,0.685884
6,1000000,Copeland,0.234677,1.301886,0.685884
6,1000000,Uncovered Set,0.314116,1.707575,0.685884
6,1000000,GETCHA,0.314116,2.201078,0.685884
7,1000000,Split Cycle,0.078056,1.08258,0.632898
7,1000000,Copeland,0.241348,1.307802,0.632898
7,1000000,Uncovered Set,0.367102,1.891731,0.632898
7,1000000,GETCHA,0.367102,2.707892,0.632898
8,1000000,Split Cycle,0.100531,1.108534,0.584669
8,1000000,Copeland,0.245658,1.312268,0.584669
8,1000000,Uncovered Set,0.415331,2.082329,0.584669
8,1000000,GETCHA,0.415331,3.301104,0.584669
9,1000000,Split Cycle,0.126751,1.138317,0.543954
9,1000000,Copeland,0.249328,1.314079,0.543954
9,1000000,Uncovered Set,0.456046,2.276663,0.543954
9,1000000,GETCHA,0.456046,3.964455,0.543954
10,1000000,Split Cycle,0.146315,1.162874,0.514208
10,1000000,Copeland,0.246231,1.310383,0.514208
10,1000000,Uncovered Set,0.485792,2.457021,0.514208
10,1000000,GETCHA,0.485792,4.649134,0.514208
20,1000000,Split Cycle,0.324321,1.417532,0.319513
20,1000000,Copeland,0.227297,1.27814,0.319513
20,1000000,Uncovered Set,0.680487,4.544439,0.319513
20,1000000,GETCHA,0.680487,13.502768,0.319513
30,1000000,Split Cycle,0.431576,1.623496,0.236345
30,1000000,Copeland,0.206776,1.246339,0.236345
30,1000000,Uncovered Set,0.763655,6.831056,0.236345
30,1000000,GETCHA,0.763655,22.881436,0.236345
