vm,comparison_vm,num_cands,num_voters,num_profiles,probmod,perc_diff_ws,perc_ssw_w_tb_violation,perc_ssw_w_tb_violation_cond_diff_ws
Beat Path,Stable Voting,4,"(10, 11)",2000000,IC,0.209648,0.061868,0.2951041746165
Beat Path,Stable Voting,4,"(20, 21)",2000000,IC,0.1636,0.039408,0.24088019559902200
Beat Path,Stable Voting,4,"(50, 51)",2000000,IC,0.112216,0.023676,0.2109859556569470
Beat Path,Stable Voting,4,"(100, 101)",2000000,IC,0.08326,0.016612,0.1995195772279610
Beat Path,Stable Voting,4,"(500, 501)",2000000,IC,0.042224,0.008712,0.20632815460401700
Beat Path,Stable Voting,4,"(1000, 1001)",2000000,IC,0.031572,0.007296,0.23109083998479700
Beat Path,Stable Voting,4,"(5000, 5001)",2000000,IC,0.016816,0.0048,0.285442435775452
Beat Path,Stable Voting,4,"(10, 11)",2000000,IAC,0.178372,0.0476505,0.26714114322875800
Beat Path,Stable Voting,4,"(20, 21)",2000000,IAC,0.123334,0.026427,0.21427181474694700
Beat Path,Stable Voting,4,"(50, 51)",2000000,IAC,0.067109,0.012743,0.18988511228002200
Beat Path,Stable Voting,4,"(100, 101)",2000000,IAC,0.0394205,0.007751,0.19662358417574600
Beat Path,Stable Voting,4,"(500, 501)",2000000,IAC,0.012071,0.0038905,0.32230138348107000
Beat Path,Stable Voting,4,"(1000, 1001)",2000000,IAC,0.008215,0.003332,0.4055995130858190
Beat Path,Stable Voting,4,"(5000, 5001)",2000000,IAC,0.0049755,0.0029325,0.589388001205909
Beat Path,Stable Voting,4,"(10, 11)",2000000,MALLOWS-RELPHI-R,0.079253,0.013392,0.16897783049222100
Beat Path,Stable Voting,4,"(20, 21)",2000000,MALLOWS-RELPHI-R,0.0457405,0.005991,0.13097801729320800
Beat Path,Stable Voting,4,"(50, 51)",2000000,MALLOWS-RELPHI-R,0.0206635,0.0023375,0.11312217194570100
Beat Path,Stable Voting,4,"(100, 101)",2000000,MALLOWS-RELPHI-R,0.0108205,0.0011695,0.10808188161360400
Beat Path,Stable Voting,4,"(500, 501)",2000000,MALLOWS-RELPHI-R,0.002378,0.0002835,0.11921783010933600
Beat Path,Stable Voting,4,"(1000, 1001)",2000000,MALLOWS-RELPHI-R,0.0012255,0.0001595,0.13015095879233000
Beat Path,Stable Voting,4,"(5000, 5001)",2000000,MALLOWS-RELPHI-R,0.000271,3.85E-05,0.14206642066420700
Beat Path,Stable Voting,4,"(10, 11)",2000000,URN-R,0.0864345,0.0250785,0.29014456033181200
Beat Path,Stable Voting,4,"(20, 21)",2000000,URN-R,0.054262,0.0125755,0.23175518779256200
Beat Path,Stable Voting,4,"(50, 51)",2000000,URN-R,0.027808,0.00565,0.2031789413118530
Beat Path,Stable Voting,4,"(100, 101)",2000000,URN-R,0.016591,0.0034675,0.2089988548007960
Beat Path,Stable Voting,4,"(500, 501)",2000000,URN-R,0.005878,0.001787,0.30401497107859800
Beat Path,Stable Voting,4,"(1000, 1001)",2000000,URN-R,0.0042075,0.00157,0.3731431966726080
Beat Path,Stable Voting,4,"(5000, 5001)",2000000,URN-R,0.0025245,0.0013215,0.5234699940582290
