vm,comparison_vm,num_cands,num_voters,num_profiles,probmod,perc_diff_ws,perc_ssw_violation,perc_ssw_violation_cond_diff_ws
Beat Path,Split Cycle,4,"(10, 11)",200,IC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(20, 21)",200,IC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(50, 51)",200,IC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(100, 101)",200,IC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(500, 501)",200,IC,0.045,0.045,1.0
Beat Path,Split Cycle,4,"(1000, 1001)",200,IC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(5000, 5001)",200,IC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(10, 11)",200,IAC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(20, 21)",200,IAC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(50, 51)",200,IAC,0.005,0.005,1.0
Beat Path,Split Cycle,4,"(100, 101)",200,IAC,0.005,0.005,1.0
Beat Path,Split Cycle,4,"(500, 501)",200,IAC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(1000, 1001)",200,IAC,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(5000, 5001)",200,IAC,0.01,0.01,1.0
Beat Path,Split Cycle,4,"(10, 11)",200,MALLOWS-RELPHI-R,0.005,0.005,1.0
Beat Path,Split Cycle,4,"(20, 21)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(50, 51)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(100, 101)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(500, 501)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(1000, 1001)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(5000, 5001)",200,MALLOWS-RELPHI-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(10, 11)",200,URN-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(20, 21)",200,URN-R,0.005,0.005,1.0
Beat Path,Split Cycle,4,"(50, 51)",200,URN-R,0.01,0.01,1.0
Beat Path,Split Cycle,4,"(100, 101)",200,URN-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(500, 501)",200,URN-R,0.015,0.01,0.6666666666666666
Beat Path,Split Cycle,4,"(1000, 1001)",200,URN-R,0.0,0.0,0.0
Beat Path,Split Cycle,4,"(5000, 5001)",200,URN-R,0.015,0.01,0.6666666666666666
